employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id
101,Steven,King,SKING,515.123.4567,2003-06-17,AD_PRES,24000,,,90
500,Neena,Kochhar,NKOCHHAR,515.123.4568,2005-09-21,AD_VP,17000,,1001.0,90
1003,Lex,De Haan,LDEHAAN,515.123.4569,2001-01-13,AD_VP,17000,,1001.0,90
1004,Alexander,Hunold,AHUNOLD,590.423.4567,2006-01-03,IT_PROG,9000,,1003.0,60
1005,Bruce,Ernst,BERNST,590.423.4568,2007-05-21,IT_PROG,6000,,1004.0,60
1006,David,Austin,DAUSTIN,590.423.4569,2005-06-25,IT_PROG,4800,,1004.0,60
1007,Valli,Pataballa,VPATABAL,650.483.4567,2006-02-05,IT_PROG,4800,,1004.0,60
1008,Diana,Lorentz,DLORENTZ,650.483.4568,2007-02-07,IT_PROG,4200,,1004.0,60
1009,Nancy,Greenberg,NGREENBE,515.124.4569,2002-08-17,FI_MGR,12000,,1002.0,100
1010,Daniel,Faviet,DFAVIET,515.124.4169,2002-08-16,FI_ACCOUNT,9000,,1009.0,100
1011,John,Chen,JCHEN,515.124.4169,2005-09-28,FI_ACCOUNT,8200,,1009.0,100
1012,Ismael,Sciarra,ISCIARRA,515.124.4369,2005-09-30,FI_ACCOUNT,7700,,1009.0,100
1013,Jose Manuel,Urman,JMURMAN,515.124.4469,2006-03-07,FI_ACCOUNT,7800,,1009.0,100
1014,Luis,Popp,LPOPP,515.124.4567,2007-12-07,FI_ACCOUNT,6900,,1009.0,100
1015,Shelley,Higgins,SHIGGINS,515.124.4568,2002-06-07,AC_MGR,12000,,1002.0,110
